origin,person,personal-id,sampling_event_code_2022,molecular-id_AHE,Subfamily,tribe,tribe_uncert,subtribe,genus,genus_uncert,species,species_uncert,sex,sex_uncert,date_DNAextraction,year,country,Date,collector,collection_Method,Country,cooY,cooX,altitude,location,AHE1,AHE1 length,AHE-BLAST,AHE-BLAST hit,AHE-identity(coverage),iPhycl,AHE1 iPhycl-Ca. Phytoplasma ass.,AHE1 iPhycl-16S group/subgroup classification,RFLP unique restriction enzymes,AHE2 length,AHE1-AHE2,AHE2 iPhycl-Ca. Phytoplasma ass.,AHE2 iPhycl-16S group/subgroup classification,CAT-AHE,CATcons-AHE,AHE probe kit 2,qPCR,qPCR-Cq,CAT-qPCR
GoLife,YC,50-15.1,10US,P015_WA11,Deltocephalinae,Paralimnini,,,Diplocolenus,,evansi,,M,,,2000,Usa,21-Jul-20,C.H. Dietrich,sweep,USA,"40°40'58.8""N","105°46'12.0""W",2700,"Larimer Co., Poudre Canyon",full,1522,16SrXI-C,HQ589192,99.93(98),16SrXI-C ,The query 16S rDNA sequence shares 97.9% similarity with that of the ‘'Candidatus Phytoplasma cynodontis' ’ reference strain (GenBank accession: AJ550984). The phytoplasma under study is a ‘'Candidatus Phytoplasma cynodontis' ’-related strain.,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is identical (similarity coefficient 1.00) to the reference pattern of 16Sr group XI, subgroup C (GenBank accession: X76429). The phytoplasma under study is a member of 16SrXI-C .",,1522,identical,,,full,phy,,pos,20.571,phy
not in GoLife,,De3O,15CA,P017_WD06,Deltocephalinae,Limotettigini,,,Limotettix,,urnura,,M,,,1989,Canada,29-Jul-89,K.G.A. Hamilton,sweep,Canada,"45°59'10.7""N","81°56'16.8""W",,"Ontario, Little Current",full,1521,16SrXI-E Ca.P. cirsii,KR869146,98.88(99),proposed 16SrXI-G,The query 16S rDNA sequence shares 98.9% similarity with that of the ‘'Candidatus Phytoplasma cirsii' ’ reference strain (GenBank accession: KR869146). The phytoplasma under study is a ‘'Candidatus Phytoplasma cirsii' ’-related strain.,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is different from the reference patterns of all previously established 16Sr groups/subgroups. The most similar is the reference pattern of the 16Sr group XI, subgroup E (GenBank accession: KR869146), with a similarity coefficient of 0.93, which is less than or equal to 0.97. This strain may represent a new subgroup within the 16Sr group XI. We recommend you compare virtual RFLP patterns and identify the key enzymes that distinguish the new subgroup pattern from previously recognized group/subgroup patterns. Please be advised that operation of iPhyClassifier is solely dependent upon sequence information, any error in a query sequence, which misrepresents the phytoplasma strain under study, could result in erroneous group/subgroup classification. Please make sure the accuracy of your query sequence before using iPhyClassifier",,1521,identical,,,full,phy,,pos,29.257,phy
GoLife,YC,30-96.1,3AU,P009_WF11,Deltocephalinae,Opsiini,,Opsiina,Orosius,,argentatus,,M,,,2003,Australia,23.IV-4.V.2003,M.E. Irwin & F.D. Parker,Malaise,Australia,"22°28'24.0""S","118°32'36.0""E",668,"Western Australia Karjini Nat'l Park , Dale Gorge Road , in large dry wash",full,1528,16SrXXXVII Candidatus Phytoplasma stylosanthis,MT431551.1,100(89),16SrXXXVII-A ,"The query 16S rDNA sequence shares less than 97.5% similarity with that of any previously recognized ‘Candidatus Phytoplasma’ species reference strain. The most closely related phytoplasma is ‘'Candidatus Phytoplasma trifolii' ’ (GenBank accession: AY390261) , whose 16S rDNA sequence shares 97.3167539267016% similarity with the query. According to IRPCM (2004) , the phytoplasma under study may represent a new ‘Candidatus Phytoplasma’ species. Please be advised that operation of iPhyClassifier is soley dependant upon sequence information , any error in a query seqeunce , which misrepresents the phytoplasma strain under study , could result in errorneous 'Candidatus Phytoplasma' species assignM.E.nt. Please make sure the accuracy of your query sequence before using iPhyClassifier","The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is identical (similarity coefficient 1.00) to the reference pattern of 16Sr group XXXVII , subgroup A (GenBank accession: AJ289192). The phytoplasma under study is a M.E.mber of 16SrXXXVII-A ",,1528,identical,,,full,phy,,pos,23.231,phy
GoLife,VT,*-Q,11FR,P003_WH12,Deltocephalinae,Fieberiellini,,,Synophropsis,,lauri,,M,,,2018,France,8-Aug-18,,,France,"43°51'08.3""N","1°49'26.9""E",,Corsica: Montans,full,1522,16SrIII J or 16SrIIIU,KY778013.1,99.60(98),16SrIII-U variant,The query 16S rDNA sequence shares 99.1% similarity with that of the ‘'Candidatus Phytoplasma pruni' rrnA ’ reference strain (GenBank accession: JQ044393). The phytoplasma under study is a ‘'Candidatus Phytoplasma pruni' rrnA ’-related strain.,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is most similar to the reference pattern of the 16Sr group III, subgroup U (GenBank accession: HM589213), with a pattern similarity coefficient of 0.98. The phytoplasma under study is a variant of 16SrIII-U .",,1521,identical,,,full,phy,,pos,28.289,phy
not in GoLife,JZ,DEL_104,12ZM,P004_WC12,Deltocephalinae,Selenocephalini,,Ianeirina,Abimwa,,sp.,,M,,,2007,Zambia,5-Nov-07,J.N. Zahniser,Hg light,Zambia,"11°34'28.2""S","24°23'40.1""E",1445,"Northwestern Prov., ~15 km N Mwinilunga, Lwakera National Forest",full,1522,16SrIII J or 16SrIIIU,KY778013.1,99.67(98),16SrIII-U variant,The query 16S rDNA sequence shares 99.0% similarity with that of the ‘'Candidatus Phytoplasma pruni' rrnA ’ reference strain (GenBank accession: JQ044393). The phytoplasma under study is a ‘'Candidatus Phytoplasma pruni' rrnA ’-related strain,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is most similar to the reference pattern of the 16Sr group III, subgroup U (GenBank accession: HM589213), with a pattern similarity coefficient of 0.98. The phytoplasma under study is a variant of 16SrIII-U .",MseI,1522,identical,,,full,phy,,pos,27.652,phy
not in GoLife,JZ,CHI_5,20PE,P004_WH11,Deltocephalinae,Chiasmini,,,Exitianus,,obscurinervis,,M,,,2002,Peru,23-Oct-02,C.H. Dietrich,Hg light,Peru,"9°23'27""S","75°59'49""W",650,"Huanuco, 30 km S Tingo Maria",part,1179,16SrIII J or 16SrIIIU,KY778013.1,99.83(100),-,-,"the run does not work, but it works if we copy and paste the first 25 nuclotide of F2 segment that is missing here",-,1200,identical a little bit onger,,,full,phy,,pos,31.827(1:5),oB
GoLife,JD,33-7,14CN,P005_WH12,Deltocephalinae,Athysanini,,,Nakaharanus,,bimaculatus,,M,,,2014,China,2-May-14,C.H. Dietrich,sweep,China,"26°36'03.6""N","106°41'24.0""E",,Guizhou Qianlingshan Park,full,1522,16SrIII J or 16SrIIIU,KY778013.1,99.67 (98),16SrIII-U variant,The query 16S rDNA sequence shares 99.0% similarity with that of the ‘'Candidatus Phytoplasma pruni' rrnA ’ reference strain (GenBank accession: JQ044393). The phytoplasma under study is a ‘'Candidatus Phytoplasma pruni' rrnA ’-related strain,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is most similar to the reference pattern of the 16Sr group III, subgroup U (GenBank accession: HM589213), with a pattern similarity coefficient of 0.98. The phytoplasma under study is a variant of 16SrIII-U ",MseI,1522,identical,,,full,phy,,pos,31.209,oB
GoLife,ER,May-64,2TH,P006_WA12,Deltocephalinae,Athysanini,,,n.gen.T1,,n.sp.,,M,,,2006,Thailand,5-12.xii.2006,Patikhom Tumtip,Malaise,Thailand,"17°27'54.1""N","101°21'18.1""E",700,Loei Phu Ruea NP Old road to the park,full,1529,16Sr VI Brinjal little leaf phytoplasma,MW273763,97.25 (100),XXXII-D related  new group,"The query 16S rDNA sequence shares less than 97.5% similarity with that of any previously recognized ‘Candidatus Phytoplasma’ species reference strain. The most closely related phytoplasma is ‘'Candidatus Phytoplasma trifolii' ’ (GenBank accession: AY390261), whose 16S rDNA sequence shares 97.2531066056246% similarity with the query. According to IRPCM (2004), the phytoplasma under study may represent a new ‘Candidatus Phytoplasma’ species. Please be advised that operation of iPhyClassifier is soley dependant upon sequence information, any error in a query seqeunce, which misrepresents the phytoplasma strain under study, could result in errorneous 'Candidatus Phytoplasma' species assignment. Please make sure the accuracy of your query sequence before using iPhyClassifier","The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is different from the reference patterns of all previously established 16Sr groups/subgroups. The most similar is the reference pattern of the 16Sr group XXXII, subgroup D (GenBank accession: MW138004), with a similarity coefficient of 0.77, which is less than 0.85. This strain may represent a new group. We recommend you compare virtual RFLP patterns and identify the key enzymes that distinguish the new RFLP pattern from previously recognized group/subgroup patterns. Please be advised that operation of iPhyClassifier is solely dependant upon sequence information, any error ina query sequence, which misrepresents the phytoplasma strain under study, could result in erroneous group/subgroup classification. Please make sure the accurace of your query sequence before using iPhyClassifier.",,1529,identical,,,full,phy,,pos,25.059,phy
GoLife,VT,BM1-VT3,1CH,P014_WA03,Deltocephalinae,Cicadulini,,,Rhopalopyx,,elongata,,M,,,2017,Switzerland,12-Jun-17,V. Trivellone,sweep,Switzerland,"46°10'07.4""N","8°51'44.9""E",196,"Ticino: Gordola, Reviscái, Riserva Bolle di Magadino",full,1530,16SrVI-A Ca. P. trifolii,AB279597,99.41 (100),proposed 16Sr VI-L,The query 16S rDNA sequence shares 99.4% similarity with that of the ‘'Candidatus Phytoplasma trifolii' ’ reference strain (GenBank accession: AY390261). The phytoplasma under study is a ‘'Candidatus Phytoplasma trifolii' ’-related strain,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is different from the reference patterns of all previously established 16Sr groups/subgroups. The most similar is the reference pattern of the 16Sr group VI, subgroup D (GenBank accession: X83431), with a similarity coefficient of 0.96, which is less than or equal to 0.97. This strain may represent a new subgroup within the 16Sr group VI. We recommend you compare virtual RFLP patterns and identify the key enzymes that distinguish the new subgroup pattern from previously recognized group/subgroup patterns. Please be advised that operation of iPhyClassifier is solely dependent upon sequence information, any error in a query sequence, which misrepresents the phytoplasma strain under study, could result in erroneous group/subgroup classification. Please make sure the accuracy of your query sequence before using iPhyClassifier.",AluI sliglhy different from AF190225,1530,identical,,,full,phy,,pos,22.082,phy
GoLife,JD,41-37,8AU,P014_WC02,Deltocephalinae,Paralimnini,,Paralimnina,Micrelloides,,n.sp.,,M,,,2011,Australia,7-Dec-11,"K. Hill, D. Marshall",Hg light,Australia,"18°09'43.2""S","140°51'18.0""E",,"Queensland, ~60 km S Normanton at Flinders River on Burke Dev Rd. K. Hill , D. Marshall, MV light",full,1524,16SrXV-C,MW281490,98.87 (98),proposed 16Sr XV-D,97.6% similarity with that of the ‘'Candidatus Phytoplasma brasiliense' ’ reference strain (GenBank accession: AF147708). The phytoplasma under study is a ‘'Candidatus Phytoplasma brasiliense' ’-related strain,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is different from the reference patterns of all previously established 16Sr groups/subgroups. The most similar is the reference pattern of the 16Sr group XV, subgroup C (GenBank accession: MW281490), with a similarity coefficient of 0.89, which is less than or equal to 0.97. This strain may represent a new subgroup within the 16Sr group XV. We recommend you compare virtual RFLP patterns and identify the key enzymes that distinguish the new subgroup pattern from previously recognized group/subgroup patterns. Please be advised that operation of iPhyClassifier is solely dependent upon sequence information, any error in a query sequence, which misrepresents the phytoplasma strain under study, could result in erroneous group/subgroup classification. Please make sure the accuracy of your query sequence before using iPhyClassifier.",BfaI,1524,identical,,,full,phy,,pos,25.249,phy
GoLife,ER,30-20,27US,P002_WD08,Deltocephalinae,Deltocephalini,,,Graminella,,sonora,,M,,,2014,Usa,11-21.ix.2014,M.E. Irwin & M.J. Sharkey,Malaise,USA,"33°01'15.6""N","110°44'19.2""W",600,"Arizona: Pinal Co. , Gila R. Mgmt. Area , The Shores , 5 km N Winkelman   , in dry outwash",part,359,16SI (378bp),CP015149.1,99.74 (100),na,na,na,na,1527,identical but longer,,,full,phy,,pos,21.128,phy
GoLife,YC,35-52,,,Deltocephalinae,Deltocephalini,,,Haldorus,,n.sp.,,M,,,2012,Peru,17.VIII.2012,"A.P.M. Santos, D.M. Takiya ",light,Peru,"13°05'58""S","70°22'00""W",254,"Madre de Dios, Mazuko",na,,,,,,,,,,,,,,,,pos,30.186,
GoLife,YC,35-44,,,Deltocephalinae,Deltocephalini,,,Unerus,,colonus,,M,,,2011,Brazil,17-23.v.2011,"Cavichioli, Gonçalves, D.M Takiya",light,Brazil,"7°10'06.0""S","70°49'06.0""W",145,"AM, Ipixuna, Rio Gregório, Com. Lago Grande no Seringal do Recreio",na,,,,,,,,,,,,,,,,pos,34.535,
GoLife,YC-G,50-29.1,r,P015_WB04,Deltocephalinae,Limotettigini,,,Limotettix,,truncatus,,F,,,2000,Usa,4-Jun-20,C.H. Dietrich,vacuum,USA,"40°35'52.0""N","90°06'04.0""W",,Double T Lake,part,81,,,,,,,,0,,,,na,neg,,pos,32.6,oB
GoLife,ER,1-Jan,,,Deltocephalinae,Stenometopiini,,,Stirellus,,sp.,,F,,,2007,Zambia,7-Nov,J.N. Zahniser,sweep,Zambia,"11°48'48.5""S ","24°21'57.2""E",,Northwestern Prov. ~11km SW Mwinilunga Nkunyi Local Forest,na,,,,,,,,,,,,,,,,pos,32.415,
GoLife,ER,2-Jan,,,Deltocephalinae,Scaphoideini,,,Scaphoidophyes,,n.sp.,,M,,,2007,Zambia,7-Nov,J.N. Zahniser,sweep,Zambia,"11°48'48.5""S","24°21'57.2""E",,,na,,,,,,,,,,,,,,,,pos,33.49,
GoLife,YC,30-43.1,,,Deltocephalinae,Scaphoideini,,,Phlogothamnus,,n.sp.,,M,,,2010,India,26.iv-4.v.2010,"M.E. Irwin, D.R. Priyadaranan",Malaise,India,"27°08'08.4""N","88°18'07.2""E",815,"West Bengal, Darjeeling 10 km E Lebong, Mineral Spring ",na,,,,,,,,,,,,,,,,pos,24.341,
GoLife,YC,33-12.1,29CN,PRU_P002_WE02,Deltocephalinae,Deltocephalini,,-,Paramesodes,,sp.,,F,,,2015,China,8-Sep-15,C.H. Dietrich,sweep,China,"30°46'15.8""N","106°07'13.4""E",303,Suchuan Nanchong,part,303,,,,,,,,870,identical but longer,,,part,phy,,pos,28.273,phy
GoLife,ER,9-Jul,23CN,P002_WA12,Deltocephalinae,Scaphoideini,,,Amimenus,,mojiensis,,M,,,2012,China,7/12/12,Wei Cong,vacuum,China,"33°58'52.8""N","108°09'49.8""E",,"Shaanxi, 8km ENE Chenhexiang",part,644,,,,,,,,1524,identical but longer,,,full,phy,,pos,27.795,phy
GoLife,VT,DEL-203,22CH,P003_WA09,Deltocephalinae,Scaphoideini,,-,Osbornellus,,auronitens,,M,,,2017,Switzerland,13/07/2017,V. Trivellone,sweep,Switzerland,"45°51'17.8""N","8°55'37.8""E",,Stabio,full,764,ALY,AY197645.1,,,,,,1521,identical but longer,,,full,phy,,pos,31.271,oB
GoLife,ER,3-Apr,,P015_WF11,Deltocephalinae,Hecalini,,Hecalina,Attenuipyga,,platyrhyncha,,M,NA,,2016,Usa,10-Aug-16,C.H. Dietrich,sweep,USA,"40°57'26.9""N","88°34'01.4""W",,IL: Livingston Co.,na,,,,,,,,,,,,,,,,neg,,
,,,,,,,,,,,,,,,,,,,,,,,,,RR prairie,,,,,,,,,,,,,,,,,,,
